1984,11,November,1,Actual Outturn,5,Stamps,10607
1984,11,November,1,Actual Outturn,6,Income Tax,245345
1984,11,November,1,Actual Outturn,7,Corporation Tax,33600
1984,11,November,1,Actual Outturn,8,Valued Added Tax,213837
1984,11,November,1,Actual Outturn,9,Training and Employment Levy,18224
1984,11,November,1,Actual Outturn,21,Motor Vehicle Duties,10780
1984,12,December  ,1,Actual Outturn,1,Customs,9127
1984,12,December  ,1,Actual Outturn,2,Excise Duty,182652
1984,12,December  ,1,Actual Outturn,3,Capital Gains Tax,3965
1984,12,December  ,1,Actual Outturn,5,Stamps,7364
1984,12,December  ,1,Actual Outturn,6,Income Tax,275447
1984,12,December  ,1,Actual Outturn,7,Corporation Tax,9606
1984,12,December  ,1,Actual Outturn,8,Valued Added Tax,124053
1984,12,December  ,1,Actual Outturn,9,Training and Employment Levy,19570
1984,12,December  ,1,Actual Outturn,21,Motor Vehicle Duties,9690
1985,1,January,1,Actual Outturn,1,Customs,12063
1985,1,January,1,Actual Outturn,2,Excise Duty,103184
1985,1,January,1,Actual Outturn,3,Capital Gains Tax,2644
1985,1,January,1,Actual Outturn,5,Stamps,9482
1985,1,January,1,Actual Outturn,6,Income Tax,237722
1985,1,January,1,Actual Outturn,7,Corporation Tax,15123
1985,1,January,1,Actual Outturn,8,Valued Added Tax,185144
1985,1,January,1,Actual Outturn,9,Training and Employment Levy,9088
1985,1,January,1,Actual Outturn,21,Motor Vehicle Duties,12504
1985,2,February,1,Actual Outturn,1,Customs,14983
1985,2,February,1,Actual Outturn,2,Excise Duty,119649
1985,2,February,1,Actual Outturn,3,Capital Gains Tax,3507
1985,2,February,1,Actual Outturn,5,Stamps,11562
1985,2,February,1,Actual Outturn,6,Income Tax,184598
1985,2,February,1,Actual Outturn,7,Corporation Tax,11100
1985,2,February,1,Actual Outturn,8,Valued Added Tax,120132
1985,2,February,1,Actual Outturn,9,Training and Employment Levy,9582
1985,2,February,1,Actual Outturn,21,Motor Vehicle Duties,15509
1985,3,March,1,Actual Outturn,1,Customs,10158
1985,3,March,1,Actual Outturn,2,Excise Duty,132874
